date,timestamp,id,seq,rtt,iat,length,seq_difference,session_start,has_reply
2026-03-23,10:36:38.022777,975,4,1.6e-05,0.200171,64,1,0,1
2026-03-23,10:36:38.222939,975,5,1.7e-05,0.200162,64,1,0,1
2026-03-23,10:36:38.423100,975,6,1.6e-05,0.200161,64,1,0,1
2026-03-23,10:36:38.623276,975,7,1.7e-05,0.200176,64,1,0,1
2026-03-23,10:36:38.823435,975,8,1.7e-05,0.200159,64,1,0,1
2026-03-23,10:36:39.023575,975,9,1.7e-05,0.20014,64,1,0,1
2026-03-23,10:36:39.223725,975,10,1.7e-05,0.20015,64,1,0,1
2026-03-23,10:36:39.423882,975,11,1.6e-05,0.200157,64,1,0,1
2026-03-23,10:36:39.675914,976,0,1.9e-05,0.252032,64,1,1,1
2026-03-23,10:36:39.876086,976,1,1.6e-05,0.200172,64,1,0,1
2026-03-23,10:36:40.076310,976,2,1.8e-05,0.200224,64,1,0,1
2026-03-23,10:36:40.276490,976,3,1.7e-05,0.20018,64,1,0,1
2026-03-23,10:36:40.476667,976,4,1.7e-05,0.200177,64,1,0,1
2026-03-23,10:36:40.676802,976,5,1.8e-05,0.200135,64,1,0,1
2026-03-23,10:36:40.876978,976,6,1.6e-05,0.200176,64,1,0,1
2026-03-23,10:36:41.077118,976,7,1.6e-05,0.20014,64,1,0,1
2026-03-23,10:36:41.277317,976,8,1.7e-05,0.200199,64,1,0,1
2026-03-23,10:36:41.477474,976,9,1.6e-05,0.200157,64,1,0,1
2026-03-23,10:36:41.677651,976,10,1.6e-05,0.200177,64,1,0,1
2026-03-23,10:36:41.929740,977,0,1.9e-05,0.252089,64,1,1,1
2026-03-23,10:36:42.129897,977,1,1.7e-05,0.200157,64,1,0,1
2026-03-23,10:36:42.330046,977,2,1.7e-05,0.200149,64,1,0,1
2026-03-23,10:36:42.530206,977,3,1.6e-05,0.20016,64,1,0,1
2026-03-23,10:36:42.730465,977,4,1.6e-05,0.200259,64,1,0,1
2026-03-23,10:36:42.930636,977,5,1.6e-05,0.200171,64,1,0,1
2026-03-23,10:36:43.130758,977,6,1.6e-05,0.200122,64,1,0,1
2026-03-23,10:36:43.330904,977,7,1.7e-05,0.200146,64,1,0,1
2026-03-23,10:36:43.531063,977,8,1.7e-05,0.200159,64,1,0,1
2026-03-23,10:36:43.731219,977,9,4e-05,0.200156,64,1,0,1
2026-03-23,10:36:43.931446,977,10,1.9e-05,0.200227,64,1,0,1
2026-03-23,10:36:44.131594,977,11,1.7e-05,0.200148,64,1,0,1
2026-03-23,10:36:44.331747,977,12,1.8e-05,0.200153,64,1,0,1
2026-03-23,10:36:44.583719,978,0,1.8e-05,0.251972,64,1,1,1
2026-03-23,10:36:44.783881,978,1,1.7e-05,0.200162,64,1,0,1
2026-03-23,10:36:44.984011,978,2,1.7e-05,0.20013,64,1,0,1
2026-03-23,10:36:45.184158,978,3,1.6e-05,0.200147,64,1,0,1
2026-03-23,10:36:45.384350,978,4,1.7e-05,0.200192,64,1,0,1
2026-03-23,10:36:45.584519,978,5,1.6e-05,0.200169,64,1,0,1
2026-03-23,10:36:45.784672,978,6,1.8e-05,0.200153,64,1,0,1
